Actual Delivery Date;CustomerKey;DateKey;Discount Amount;Invoice Date;Invoice Number;Item Class;Item Number;Item;Line Number;List Price;Order Number;Promised Delivery Date;Sales Amount;Sales Amount Based on List Price;Sales Cost Amount;Sales Margin Amount;Sales Price;Sales Quantity;Sales Rep;U/M
28/04/2019;10000481;28/04/2018;-237,91;30/04/2018;100012;;;Urban Large Eggs;2000;0;200015;28/04/2019;237,91;0;0;237,91;237,91;1;184;EA
12/07/2019;10002220;12/07/2018;368,79;14/07/2018;100233;P01;20910;Moms Sliced Turkey;1000;824,96;200245;12/07/2019;456,17;824,96;0;456,17;456,17;1;127;EA
14/10/2019;10002220;15/10/2018;109,73;17/10/2018;116165;P01;38076;Cutting Edge Foot-Long Hot Dogs;1000;548,66;213157;14/10/2019;438,93;548,66;0;438,93;438,93;1;127;EA
01/06/2019;10002489;01/06/2018;-211,75;03/06/2018;100096;;;Kiwi Lox;1000;0;200107;01/06/2019;211,75;0;0;211,75;211,75;1;160;EA
26/05/2019;10004516;25/05/2018;96627,94;27/05/2018;103341;P01;60776;High Top Sweet Onion;1000;408,52;203785;26/05/2019;89248,66;185876,6;0;89248,66;196,1509011;455;124;SE
28/05/2019;10004516;28/05/2018;-1950;30/05/2018;103610;;;Best Choice Fudge Brownies;2000;0;203785;28/05/2019;1950;0;0;1950;1950;1;124;EA
01/09/2019;10007866;01/09/2018;371,014;03/09/2018;100403;P01;20910;Moms Sliced Turkey;2000;795,314;200436;01/09/2019;424,3;795,314;0;424,3;424,3;1;149;EA
16/06/2019;10009356;16/06/2018;608,08;18/06/2018;105481;P01;62550;Tell Tale Garlic;29000;575;205213;16/06/2019;541,92;1150;0;541,92;270,96;2;103;EA
16/06/2019;10009356;16/06/2018;424,8;18/06/2018;105481;P01;60794;High Top Walnuts;18000;51,88;205213;16/06/2019;353,4;778,2;0;353,4;23,56;15;103;EA
16/06/2019;10009356;16/06/2018;13492,8;18/06/2018;105481;P01;36001;Big Time Frozen Cheese Pizza;9000;412,03;205213;16/06/2019;11229;24721,8;0;11229;187,15;60;103;EA
16/06/2019;10009356;16/06/2018;10481,1;18/06/2018;105481;P01;38076;Cutting Edge Foot-Long Hot Dogs;13000;548,66;205213;16/06/2019;8722;19203,1;0;8722;249,2;35;103;EA
16/06/2019;10009356;16/06/2018;404,1465;18/06/2018;105481;P01;61484;Super Creamy Peanut Butter;37000;50,5051;205213;16/06/2019;353,43;757,5765;0;353,43;23,562;15;103;EA
14/09/2019;10009606;14/09/2018;1287,3476;16/09/2018;100445;P01;17801;Better Fancy Canned Sardines;3000;1379,7938;200478;14/09/2019;1472,24;2759,5876;0;1472,24;736,12;2;118;EA
14/09/2019;10009606;14/09/2018;4764,33;16/09/2018;100445;P01;48500;Red Spade Low Fat Cole Slaw;1000;1134,77;200478;14/09/2019;5448,6;10212,93;0;5448,6;605,4;9;118;EA
04/06/2019;10009633;08/06/2018;-526,64;10/06/2018;104708;;38631;Jumbo Large Eggs;1000;0;204575;04/06/2019;526,64;0;0;526,64;526,64;1;127;EA
16/08/2019;10009633;18/08/2018;0;20/08/2018;100379;P01;60449;High Top Corn on the Cob;1000;346,53;200397;16/08/2019;346,53;346,53;0;346,53;346,53;1;127;EA
12/11/2019;10009645;15/11/2018;0;17/11/2018;100684;;61801;Moms Low Fat Bologna;2000;258,01;200733;12/11/2019;3096,12;3096,12;0;3096,12;258,01;12;155;EA
12/05/2019;10009652;12/05/2018;91;14/05/2018;102256;;63113;Landslide Columbian Coffee;1000;5,61;202989;12/05/2019;1872,5;1963,5;0;1872,5;5,35;350;145;EA
12/05/2019;10009652;12/05/2018;-700;14/05/2018;102256;;;High Top Dried Mushrooms;2000;0;202989;12/05/2019;700;0;0;700;2;350;145;EA
04/11/2019;10009907;04/11/2018;786,6;06/11/2018;117815;P01;38050;Gorilla Chocolate Milk;2000;301,23;200706;04/11/2019;418,32;1204,92;0;418,32;104,58;4;167;EA
17/06/2019;10010884;17/06/2018;499,44;19/06/2018;105615;P01;38007;Gorilla Jack Cheese;1000;1103;205323;17/06/2019;603,56;1103;0;603,56;603,56;1;105;EA
11/06/2019;10010884;06/07/2018;409,77;08/07/2018;107052;P01;28401;Ebony Prepared Salad;10000;966,44;205041;11/06/2019;556,67;966,44;0;556,67;556,67;1;105;EA
11/06/2019;10010884;06/07/2018;186,43;08/07/2018;107052;P01;26361;Bravo Canned Yams;7000;439,7;205041;11/06/2019;253,27;439,7;0;253,27;253,27;1;105;EA
11/06/2019;10010884;06/07/2018;349,78;08/07/2018;107052;P01;20910;Moms Sliced Turkey;4000;824,96;205041;11/06/2019;475,18;824,96;0;475,18;475,18;1;105;EA
11/06/2019;10010884;06/07/2018;325,53;08/07/2018;107052;P01;45880;Red Spade Low Fat Bologna;17000;767,75;205041;11/06/2019;442,22;767,75;0;442,22;442,22;1;105;EA
11/06/2019;10010884;06/07/2018;313,27;08/07/2018;107052;P01;29394;Pearl Chardonnay;12000;123,14;205041;11/06/2019;425,57;738,84;0;425,57;70,92833333;6;105;EA
11/06/2019;10010884;06/07/2018;174,7;08/07/2018;107052;P01;36001;Big Time Frozen Cheese Pizza;13000;412,03;205041;11/06/2019;237,33;412,03;0;237,33;237,33;1;105;EA
11/06/2019;10010884;06/07/2018;338,2;08/07/2018;107052;P01;25300;Fast Dried Apples;6000;199,41;205041;11/06/2019;459,44;797,64;0;459,44;114,86;4;105;EA
11/06/2019;10010884;06/07/2018;2788,64;08/07/2018;107052;P01;26502;Bravo Large Canned Shrimp;8000;939,57;205041;11/06/2019;3788,35;6576,99;0;3788,35;541,1928571;7;105;EA
11/06/2019;10010884;06/07/2018;352,68;08/07/2018;107052;P01;26749;Cutting Edge Turkey Hot Dogs;9000;166,36;205041;11/06/2019;479,12;831,8;0;479,12;95,824;5;105;EA
11/06/2019;10010884;06/07/2018;2760,82;08/07/2018;107052;P01;47801;Red Spade Foot-Long Hot Dogs;19000;1627,84;205041;11/06/2019;3750,54;6511,36;0;3750,54;937,635;4;105;EA
26/12/2020;10010914;19/10/2018;-361,35;21/10/2018;100607;;;Cutting Edge Sliced Ham;76000;0;200273;26/12/2020;361,35;0;0;361,35;361,35;1;121;EA
02/09/2019;10013188;03/09/2018;381,99;05/09/2018;100415;P01;37172;Fast Low Fat BBQ Chips;3000;219,27;200448;02/09/2019;495,09;877,08;0;495,09;123,7725;4;141;EA
14/10/2019;10014495;15/10/2018;736,2799;17/10/2018;116153;P01;31875;Golden Frozen Chicken Thighs;1000;1150,4399;213135;14/10/2019;414,16;1150,4399;0;414,16;414,16;1;161;EA
26/10/2019;10014495;26/10/2018;694,15;28/10/2018;117037;P01;27550;Imagine Popsicles;2000;1084,61;213956;26/10/2019;390,46;1084,61;0;390,46;390,46;1;161;EA
26/10/2019;10014495;26/10/2018;618,52;28/10/2018;117041;P01;28401;Ebony Prepared Salad;1000;966,44;213968;26/10/2019;347,92;966,44;0;347,92;347,92;1;161;EA
26/10/2019;10014495;26/10/2018;742,85;28/10/2018;117046;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;213976;26/10/2019;417,85;1160,7;0;417,85;417,85;1;161;EA
26/10/2019;10014495;26/10/2018;742,85;28/10/2018;117036;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;213947;26/10/2019;417,85;1160,7;0;417,85;417,85;1;161;EA
27/10/2019;10014495;26/10/2018;915,99;28/10/2018;117050;P01;17801;Better Fancy Canned Sardines;1000;1431,23;213985;27/10/2019;515,24;1431,23;0;515,24;515,24;1;161;EA
27/10/2019;10014495;26/10/2018;915,99;28/10/2018;117043;P01;17801;Better Fancy Canned Sardines;1000;1431,23;213970;27/10/2019;515,24;1431,23;0;515,24;515,24;1;161;EA
27/10/2019;10014495;26/10/2018;915,99;28/10/2018;117038;P01;17801;Better Fancy Canned Sardines;1000;1431,23;213957;27/10/2019;515,24;1431,23;0;515,24;515,24;1;161;EA
27/10/2019;10014495;27/10/2018;742,85;29/10/2018;117143;P01;47550;Red Spade Turkey Hot Dogs;1000;1160,7;213962;27/10/2019;417,85;1160,7;0;417,85;417,85;1;161;EA
03/05/2019;10014802;03/05/2018;425,97;05/05/2018;100034;P01;24336;Fast Low Fat Cookies;2000;219,99;200037;03/05/2019;234;659,97;0;234;78;3;117;EA
05/07/2019;10014802;05/07/2018;567,77;07/07/2018;100222;P01;24336;Fast Low Fat Cookies;2000;219,99;200233;05/07/2019;312,19;879,96;0;312,19;78,0475;4;117;EA
09/07/2019;10015011;09/07/2018;7145,1;11/07/2018;100230;;64798;American Roasted Chicken;2000;456,57;200246;09/07/2019;6552;13697,1;0;6552;218,4;30;142;EA
11/11/2019;10015030;11/11/2018;2524,7;13/11/2018;100681;P01;62700;Tell Tale Canned Peanuts;1000;568,5;200730;11/11/2019;3160,3;5685;0;3160,3;316,03;10;161;EA
10/06/2019;10015824;10/06/2018;317,46;12/06/2018;100130;P01;31682;Golden Waffles;15000;317,46;200143;10/06/2019;317,46;634,92;0;317,46;158,73;2;103;EA
26/08/2019;10016548;26/08/2018;198,96;28/08/2018;111706;P01;29753;BBB Best Strawberry Jelly;30000;222,65;209819;26/08/2019;246,34;445,3;0;246,34;123,17;2;153;EA
26/08/2019;10016548;26/08/2018;453,74;28/08/2018;111706;P01;29255;Thresher Spicy Mints;5000;507,75;209819;26/08/2019;561,76;1015,5;0;561,76;280,88;2;153;EA
26/08/2019;10016548;26/08/2018;686,08;28/08/2018;111706;P01;45880;Red Spade Low Fat Bologna;11000;767,75;209819;26/08/2019;849,42;1535,5;0;849,42;424,71;2;153;EA
26/08/2019;10016548;26/08/2018;1295,44;28/08/2018;111706;P01;28401;Ebony Prepared Salad;10000;966,44;209819;26/08/2019;1603,88;2899,32;0;1603,88;534,6266667;3;153;EA
26/08/2019;10016548;26/08/2018;165,54;28/08/2018;111706;P01;36015;Big Time Apple Cinnamon Waffles;22000;37,05;209819;26/08/2019;204,96;370,5;0;204,96;20,496;10;153;EA
26/08/2019;10016548;26/08/2018;167,12;28/08/2018;111706;P01;39594;Just Right Beef Soup;26000;187,01;209819;26/08/2019;206,9;374,02;0;206,9;103,45;2;153;EA
26/08/2019;10016548;26/08/2018;167,12;28/08/2018;111706;P01;39900;Washington Cranberry Juice;35000;187,01;209819;26/08/2019;206,9;374,02;0;206,9;103,45;2;153;EA
26/08/2019;10016548;26/08/2018;558,51;28/08/2018;111706;;63235;Token Cola;32000;625;209819;26/08/2019;691,49;1250;0;691,49;345,745;2;153;EA
26/08/2019;10016548;26/08/2018;387,02;28/08/2018;111706;P01;26629;Gorilla Havarti Cheese;1000;288,73;209819;26/08/2019;479,17;866,19;0;479,17;159,7233333;3;153;EA
26/08/2019;10016548;26/08/2018;205,87;28/08/2018;111706;P01;601700;Club Cheese Spread;2000;218,18;209819;26/08/2019;230,49;436,36;0;230,49;115,245;2;153;EA
26/08/2019;10016548;26/08/2018;589,39;28/08/2018;111706;P01;26361;Bravo Canned Yams;4000;439,7;209819;26/08/2019;729,71;1319,1;0;729,71;243,2366667;3;153;EA
26/08/2019;10016548;26/08/2018;405,61;28/08/2018;111706;P01;62027;Big Time Home Style French Fries;25000;181,56;209819;26/08/2019;502,19;907,8;0;502,19;100,438;5;153;EA
26/08/2019;10016548;26/08/2018;186,36;28/08/2018;111706;P01;63070;Landslide Sesame Oil;29000;83,42;209819;26/08/2019;230,74;417,1;0;230,74;46,148;5;153;EA
26/08/2019;10016548;26/08/2018;1555,84;28/08/2018;111706;P01;47550;Red Spade Turkey Hot Dogs;31000;1160,7;209819;26/08/2019;1926,26;3482,1;0;1926,26;642,0866667;3;153;EA
26/08/2019;10016548;26/08/2018;434,58;28/08/2018;111706;P01;37609;Colony Wheat Bread;19000;486,32;209819;26/08/2019;538,06;972,64;0;538,06;269,03;2;153;SE
26/08/2019;10016548;26/08/2018;182,53;28/08/2018;111706;P01;37606;Colony Blueberry Muffins;20000;408,52;209819;26/08/2019;225,99;408,52;0;225,99;225,99;1;153;SE
26/08/2019;10016548;26/08/2018;550,2;28/08/2018;111706;P01;29394;Pearl Chardonnay;23000;123,14;209819;26/08/2019;681,2;1231,4;0;681,2;68,12;10;153;EA
26/08/2019;10016548;26/08/2018;256,46;28/08/2018;111706;P01;38845;Ebony Peaches;24000;191,33;209819;26/08/2019;317,53;573,99;0;317,53;105,8433333;3;153;EA
26/08/2019;10016548;26/08/2018;412,17;28/08/2018;111706;P01;5742;Red Spade Beef Bologna;27000;115,31;209819;26/08/2019;510,31;922,48;0;510,31;63,78875;8;153;EA
26/08/2019;10016548;26/08/2018;309,4;28/08/2018;111706;P01;39901;Washington Apple Juice;33000;346,23;209819;26/08/2019;383,06;692,46;0;383,06;191,53;2;153;EA
26/08/2019;10016548;26/08/2018;235,16;28/08/2018;111706;P01;39680;Even Better String Cheese;34000;263,15;209819;26/08/2019;291,14;526,3;0;291,14;145,57;2;153;EA
26/08/2019;10016548;26/08/2018;813,82;28/08/2018;111706;P01;604700;Club Sharp Cheddar Cheese;6000;575;209819;26/08/2019;911,18;1725;0;911,18;303,7266667;3;153;EA
26/08/2019;10016548;26/08/2018;552,3;28/08/2018;111706;P01;36001;Big Time Frozen Cheese Pizza;7000;412,03;209819;26/08/2019;683,79;1236,09;0;683,79;227,93;3;153;EA
26/08/2019;10016548;26/08/2018;735,44;28/08/2018;111706;P01;38076;Cutting Edge Foot-Long Hot Dogs;8000;548,66;209819;26/08/2019;910,54;1645,98;0;910,54;303,5133333;3;153;EA
26/08/2019;10016548;26/08/2018;1453,84;28/08/2018;111706;P01;27550;Imagine Popsicles;9000;1084,61;209819;26/08/2019;1799,99;3253,83;0;1799,99;599,9966667;3;153;EA
26/08/2019;10016548;26/08/2018;2182;28/08/2018;111706;P01;47801;Red Spade Foot-Long Hot Dogs;12000;1627,84;209819;26/08/2019;2701,52;4883,52;0;2701,52;900,5066667;3;153;EA
26/08/2019;10016548;26/08/2018;1918,46;28/08/2018;111706;P01;17801;Better Fancy Canned Sardines;13000;1431,23;209819;26/08/2019;2375,23;4293,69;0;2375,23;791,7433333;3;153;EA
09/07/2019;10016549;09/07/2018;1263,15;11/07/2018;100229;P01;17801;Better Fancy Canned Sardines;3000;1431,23;200243;09/07/2019;1599,31;2862,46;0;1599,31;799,655;2;105;EA
26/05/2019;10016858;26/05/2018;287,9;28/05/2018;103427;;15271;Great Bagels;1000;3,22;203759;26/05/2019;356,1;644;26;330,1;1,7805;200;159;EA
18/10/2019;10016858;18/10/2018;6112,56;20/10/2018;100604;P01;33446;Best Choice Low Fat BBQ Chips;2000;974,69;200644;18/10/2019;5583,72;11696,28;0;5583,72;465,31;12;159;EA
12/11/2019;10016858;12/11/2018;14761,5;14/11/2018;100682;;30360;Washington Cream Soda;2000;1093,95;200731;12/11/2019;12587,25;27348,75;0;12587,25;503,49;25;159;EA
12/11/2019;10016858;12/11/2018;11809,2;14/11/2018;100682;;30360;Washington Cream Soda;4000;1093,95;200731;12/11/2019;10069,8;21879;0;10069,8;503,49;20;159;EA
